iso_code,location,total_cases_per_million,population_density,aged_65_older,people_fully_vaccinated_per_hundred,hospital_beds_per_thousand
NIU,Niue,382684.426,,,,
PRK,North Korea,,211.701,9.491,,13.2
MKD,North Macedonia,165898.932,82.6,13.26,,4.28
MNP,Northern Mariana Islands,276798.322,119.878,,,
NOR,Norway,272368.008,14.462,16.821,,3.6
OMN,Oman,87286.454,14.98,2.355,,1.6
PAK,Pakistan,6692.924,255.573,4.495,59.32,0.6
PLW,Palau,331508.516,47.237,,,4.8
PSE,Palestine,133946.251,778.202,3.043,,
PAN,Panama,234301.868,55.133,7.918,71.94,2.3
PNG,Papua New Guinea,4616.754,18.22,3.808,3.13,
PRY,Paraguay,108507.104,17.144,6.378,52.26,1.3
PER,Peru,131848.203,25.129,7.151,83.9,1.6
PHL,Philippines,35297.932,351.873,4.803,,1
PCN,Pitcairn,85106.383,,,,
POL,Poland,162520.425,124.027,16.763,56.81,6.62
PRT,Portugal,542652.77,112.371,21.502,,3.39
PRI,Puerto Rico,339570.755,376.232,15.168,,
QAT,Qatar,184333.155,227.322,1.307,105.82,1.2
REU,Reunion,507765.419,,,,
ROU,Romania,170903.548,85.129,17.85,,6.892
RUS,Russia,155658.672,8.823,14.178,55,8.05
RWA,Rwanda,9668.061,494.869,2.974,,
BLM,Saint Barthelemy,496543.569,,,,
SHN,Saint Helena,401036.845,,,,
KNA,Saint Kitts and Nevis,138356.998,212.865,,,2.3
LCA,Saint Lucia,166940.936,293.187,9.721,,1.3
MAF,Saint Martin (French part),385843.601,590.533,,,
SPM,Saint Pierre and Miquelon,580798.641,,,,
VCT,Saint Vincent and the Grenadines,92276.763,281.787,7.724,,2.6
WSM,Samoa,73865.731,69.413,5.606,,
SMR,San Marino,704867.913,556.667,,,3.8
STP,Sao Tome and Principe,27687.748,212.841,2.886,,2.9
SAU,Saudi Arabia,22837.925,15.322,3.295,69.8,2.7
SEN,Senegal,5136.445,82.328,3.008,,
SRB,Serbia,365141.794,80.291,17.366,,5.609
SYC,Seychelles,475446.866,208.354,8.606,77.93,3.6
SLE,Sierra Leone,901.958,104.7,2.538,47.99,
SGP,Singapore,398321.667,7915.731,12.922,,2.4
SXM,Sint Maarten (Dutch part),249434.287,1209.088,,,
SVK,Slovakia,330425.422,113.128,15.07,,5.82
SVN,Slovenia,630436.311,102.619,19.062,,4.5
SLB,Solomon Islands,33930.623,21.841,3.507,,1.4
SOM,Somalia,1553.288,23.5,2.731,,0.9
ZAF,South Africa,67923.863,46.754,5.344,35.13,2.32
KOR,South Korea,592540.408,527.967,13.914,85.71,12.27
SSD,South Sudan,1683.104,,3.441,28.52,
ESP,Spain,289814.118,93.105,19.436,,2.97
LKA,Sri Lanka,30782.768,341.955,10.069,,3.6
SDN,Sudan,1363.202,23.258,3.548,,0.8
SUR,Suriname,133431.816,3.612,6.933,,3.1
SWE,Sweden,255961.861,24.718,19.985,71.98,2.22
CHE,Switzerland,502752.769,214.243,18.436,68.79,4.53
SYR,Syria,2595.361,,,,1.5
TWN,Taiwan,,,,86.86,
TJK,Tajikistan,1787.037,64.281,3.466,,4.8
TZA,Tanzania,655.397,64.699,3.108,49.11,0.7
THA,Thailand,65950.882,135.132,11.373,,2.1
TLS,Timor,17462.19,87.176,3.556,,5.9
TGO,Togo,4454.44,143.366,2.839,17.56,0.7
TKL,Tokelau,2641.31,,,,
TON,Tonga,157326.396,150.028,5.82,,2.6
TTO,Trinidad and Tobago,124284.556,266.886,10.014,,3
TUN,Tunisia,93179.2,74.228,8.001,,2.3
TUR,Turkey,199255.078,104.914,8.153,,2.81
TKM,Turkmenistan,,12.253,4.277,,7.4
TCA,Turks and Caicos Islands,143485.107,37.312,,,
TUV,Tuvalu,245169.828,373.067,,,
UGA,Uganda,3607.714,213.759,2.168,,0.5
UKR,Ukraine,136703.315,77.39,16.462,,8.8
ARE,United Arab Emirates,111780.381,112.442,1.144,,1.2
GBR,United Kingdom,362155.449,272.898,18.517,,2.54
USA,United States,303126.435,35.608,15.413,69.34,2.77
VIR,United States Virgin Islands,249610.471,306.48,18.601,,
URY,Uruguay,302397.806,19.751,14.655,84.71,2.8
UZB,Uzbekistan,7267.603,76.134,4.469,,4
VUT,Vanuatu,36768.847,22.662,4.394,,
VAT,Vatican,32178.218,,,,
VEN,Venezuela,19512.361,36.253,6.614,,0.8
VNM,Vietnam,117400.021,308.127,7.15,87.59,2.6
WLF,Wallis and Futuna,295532.942,,,,
YEM,Yemen,354.487,53.508,2.922,2.3,0.7
ZMB,Zambia,17147.35,22.995,2.48,43.7,2
ZWE,Zimbabwe,16199.894,42.729,2.822,,1.7
